it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.10978593677282333,0.10978593677282333,0.8147013187408447,1.918678879737854,0.18945391476154327,1.3254859447479248,0.07938714325428009,0.7319131940579541,1.7602843046188354,61,0.7023999999999999,0.0,0.0,0.0
25,0.10341864079236984,0.10341864079236984,0.9337100982666016,1.8499855995178223,24.91337013244629,1.3428070545196533,0.07543546706438065,0.8206100800404919,1.7141330242156982,212,0.6258315729977479,0.0,0.0,0.0
50,0.17427273094654083,0.09815049171447754,1.047888159751892,1.8077832460403442,49.422462463378906,1.3867101669311523,0.07227958738803864,0.9298662541791668,1.6989949941635132,276,0.5576098487483422,0.0,0.041927409261576974,0.0
75,0.3551032841205597,0.09508326649665833,1.3443999290466309,1.7661011219024658,68.8165054321289,1.405787706375122,0.07104115188121796,1.019532246674512,1.6499607563018799,340,0.49682495552564265,0.0,0.14622444722569877,0.0
100,0.5572883486747742,0.09400051087141037,1.2227025032043457,1.7327831983566284,69.75382995605469,1.395221471786499,0.07158317416906357,1.007050465982345,1.640226125717163,336,0.44266620646518956,0.020963704630788487,0.25052148518982065,0.0
125,0.7539452910423279,0.09405320882797241,1.011803388595581,1.7103546857833862,63.96208953857422,1.3445100784301758,0.07308826595544815,0.9185508266330303,1.6242926120758057,335,0.3944112874502499,0.04703796412181894,0.3548185231539424,0.0
150,0.9434537291526794,0.09443840384483337,0.9256175756454468,1.6848781108856201,61.26527786254883,1.3111274242401123,0.07455886155366898,0.8599006576812096,1.613236427307129,324,0.3514166236233725,0.07311222361284939,0.4591155611180642,0.0
175,1.1248688697814941,0.09492263942956924,0.8730088472366333,1.6554840803146362,58.13941955566406,1.281938910484314,0.07600788027048111,0.8161971801018856,1.5956649780273438,315,0.31310879604181774,0.09918648310387984,0.563412599082186,0.0
200,1.3010637760162354,0.0955457016825676,0.8220585584640503,1.6305238008499146,56.48896789550781,1.2490208148956299,0.0774136483669281,0.7787227626314106,1.564491629600525,309,0.27897689400097075,0.12526074259491032,0.6677096370463079,0.0
225,1.4754873514175415,0.09609750658273697,0.7917966842651367,1.608929991722107,54.99700164794922,1.2355120182037354,0.07849489897489548,0.7505111275287722,1.5635231733322144,304,0.24856570102883482,0.15133500208594075,0.7720066750104296,0.0
250,1.643854022026062,0.09650713205337524,0.7692479491233826,1.585478663444519,53.62519454956055,1.2174341678619385,0.07930149137973785,0.7237820169637095,1.552483320236206,300,0.22146962367335374,0.1774092615769712,0.8763037129745515,0.0
275,1.8158196210861206,0.09696831554174423,0.7517719268798828,1.570608139038086,51.26081085205078,1.195631504058838,0.08010629564523697,0.7020608224090183,1.5289896726608276,301,0.19732728211092573,0.2034835210680017,0.9806007509386734,0.0
300,1.9857622385025024,0.09742636233568192,0.7366187572479248,1.5571047067642212,49.559547424316406,1.1810989379882812,0.08089161664247513,0.6841393417044018,1.51627516746521,295,0.1758166904311661,0.2295577805590321,1.084897788902795,0.0
325,6.394017696380615,0.09801867604255676,0.7335668802261353,1.5514864921569824,31.85017967224121,1.1514267921447754,0.08174077421426773,0.6629116183276815,1.476460337638855,245,0.1566509623174755,0.2556320400500626,1.189194826866917,0.13278793613968662
