it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.10242524743080139,0.10242524743080139,0.7787811160087585,3.0997347831726074,0.3288643956184387,1.3396556377410889,0.07034175843000412,0.6682543960163297,1.8703734874725342,74,1.5424,0.0,0.0,0.0
25,0.09412278980016708,0.09412278980016708,0.9251593947410583,3.076570749282837,49.23970031738281,1.3588861227035522,0.06573224812746048,0.721129457887366,1.8651782274246216,213,1.37426340858731,0.0,0.0,0.0
50,0.25277525186538696,0.0905413031578064,1.0489283800125122,3.0530800819396973,111.859375,1.3764597177505493,0.06439509987831116,0.7802568362279387,1.8438724279403687,298,1.224455339848296,0.0,0.041927409261576974,0.0
75,0.6475133895874023,0.08846385776996613,1.1278197765350342,3.0072970390319824,126.57782745361328,1.367261290550232,0.06429427862167358,0.7923460111628811,1.81358802318573,348,1.0909778066667872,0.0,0.14622444722569877,0.0
100,1.060911774635315,0.08744416385889053,1.0468058586120605,2.9810500144958496,127.09475708007812,1.3416203260421753,0.06492302566766739,0.7693163001134246,1.7840782403945923,331,0.972050621941783,0.020963704630788487,0.25052148518982065,0.0
125,1.4718056917190552,0.08684360235929489,0.8947457075119019,2.965229034423828,118.0597152709961,1.31967294216156,0.06575676053762436,0.7249137667691851,1.7829185724258423,312,0.866087656268886,0.04703796412181894,0.3548185231539424,0.0
150,1.869490623474121,0.08625368773937225,0.7903335690498352,2.9363293647766113,113.64845275878906,1.3012092113494873,0.06632668524980545,0.6957765205470958,1.7739886045455933,312,0.771675683765219,0.07311222361284939,0.4591155611180642,0.0
175,2.265763521194458,0.08562106639146805,0.770037829875946,2.909632682800293,108.92337799072266,1.2856478691101074,0.06665456295013428,0.6803249731507378,1.7576617002487183,315,0.6875555339050395,0.09918648310387984,0.563412599082186,0.0
200,2.6656649112701416,0.08503933250904083,0.7591444253921509,2.896557331085205,104.08517456054688,1.2871205806732178,0.06684468686580658,0.668251224154382,1.7723007202148438,306,0.6126052979884643,0.12526074259491032,0.6677096370463079,0.0
225,3.0650389194488525,0.08454600721597672,0.7506126165390015,2.8862900733947754,102.2236328125,1.275148868560791,0.06700634211301804,0.658953780942864,1.757331132888794,301,0.5458253662683299,0.15133500208594075,0.7720066750104296,0.0
250,3.462587356567383,0.08414770662784576,0.7454546689987183,2.8758676052093506,101.421875,1.270304799079895,0.06717941164970398,0.6532320980933295,1.7530186176300049,293,0.48632509617565606,0.1774092615769712,0.8763037129745515,0.0
275,3.857919216156006,0.08380941301584244,0.7427734136581421,2.864995002746582,100.21920776367188,1.2589616775512695,0.06730256974697113,0.6498969167379719,1.7334212064743042,298,0.4333109338381149,0.2034835210680017,0.9806007509386734,0.0
300,4.253573417663574,0.08353244513273239,0.7403624057769775,2.8564703464508057,100.25401306152344,1.2636651992797852,0.06741378456354141,0.6470211903474488,1.7454817295074463,300,0.38607583046843763,0.2295577805590321,1.084897788902795,0.0
325,30.812131881713867,0.08331657946109772,0.7356827259063721,2.8339579105377197,72.74674224853516,1.2413082122802734,0.0675097107887268,0.63924160151762,1.7083555459976196,191,0.34398981246935395,0.2556320400500626,1.189194826866917,0.3599010958820472
350,36.43946075439453,0.08318450301885605,0.6826506853103638,2.821246385574341,15.514152526855469,1.224515676498413,0.06762678921222687,0.6130652391680402,1.7007124423980713,25,0.30649157948874745,0.28170629954109305,1.2934918648310387,2.026109873113748
375,25.977251052856445,0.08303339779376984,0.6693140864372253,2.8235831260681152,5.571539402008057,1.2251887321472168,0.06770385801792145,0.6042536563210019,1.7107161283493042,10,0.27308101836846116,0.3077805590321235,1.3977889027951607,3.6923186503454515
