it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.08272206783294678,0.08272206783294678,1.2052193880081177,2.4913580417633057,0.454120397567749,1.593794822692871,0.05211619660258293,0.963516902593348,2.119840383529663,189,1.2,0.0,0.0,0.0
25,0.07799918949604034,0.07799918949604034,1.269669532775879,2.4529693126678467,33.89547348022461,1.6455800533294678,0.05014413222670555,1.0669385911252784,2.1239330768585205,354,1.0691883365565171,0.0,0.0,0.0
50,0.17627744376659393,0.07402672618627548,1.1443747282028198,2.4254939556121826,65.26350402832031,1.6773152351379395,0.048570167273283005,1.168101893649352,2.089388370513916,465,0.9526364158570768,0.0,0.041927409261576974,0.0
75,0.4174531102180481,0.07195363938808441,1.3162620067596436,2.3477752208709717,58.38615036010742,1.645655632019043,0.04845479130744934,1.212147828487074,1.9822537899017334,496,0.8487897873444921,0.0,0.14622444722569877,0.0
100,0.6787468194961548,0.07116353511810303,1.41169273853302,2.2914247512817383,46.49884033203125,1.593851089477539,0.04939071834087372,1.1571250195767917,1.931795597076416,420,0.7562634506808478,0.020963704630788487,0.25052148518982065,0.0
125,0.9345526099205017,0.07088278234004974,1.1332205533981323,2.266073226928711,67.86922454833984,1.5026757717132568,0.05067814141511917,0.9950699147813722,1.9089252948760986,452,0.6738233840266229,0.04703796412181894,0.3548185231539424,0.0
150,1.1911336183547974,0.07065106183290482,1.0626115798950195,2.2509422302246094,79.05506896972656,1.4567086696624756,0.05164162442088127,0.8805224995848029,1.9296116828918457,480,0.6003700859169234,0.07311222361284939,0.4591155611180642,0.0
175,1.4471718072891235,0.0703410878777504,1.0461159944534302,2.2366933822631836,90.2298812866211,1.4215447902679443,0.052262887358665466,0.7993838313321663,1.9391798973083496,492,0.5349239112331738,0.09918648310387984,0.563412599082186,0.0
200,1.6998094320297241,0.07002604007720947,1.041602373123169,2.220438241958618,94.12379455566406,1.3982751369476318,0.0527004711329937,0.751881717024426,1.9392675161361694,480,0.4766120056964193,0.12526074259491032,0.6677096370463079,0.0
225,1.951850175857544,0.06973355263471603,1.0409066677093506,2.2071969509124756,96.13455200195312,1.3971095085144043,0.052985116839408875,0.7286918161063651,1.959557056427002,495,0.42465666462784996,0.15133500208594075,0.7720066750104296,0.0
250,2.201862096786499,0.0695885568857193,1.0300815105438232,2.1963846683502197,97.88029479980469,1.3792463541030884,0.05330779775977135,0.7093716844098337,1.9425054788589478,505,0.37836496071757475,0.1774092615769712,0.8763037129745515,0.0
275,2.4480342864990234,0.06947637349367142,1.0157036781311035,2.184985399246216,98.36329650878906,1.3788365125656128,0.053561557084321976,0.6978036124963045,1.9527462720870972,504,0.337119502467413,0.2034835210680017,0.9806007509386734,0.0
300,2.690490484237671,0.06936682015657425,0.9985716938972473,2.173485279083252,96.936279296875,1.367847204208374,0.05375239625573158,0.6919552313168739,1.936234474182129,499,0.30037020005324505,0.2295577805590321,1.084897788902795,0.0
325,20.570571899414062,0.06931901723146439,0.9590625762939453,2.163994550704956,62.759605407714844,1.363135576248169,0.05394243448972702,0.6935385109719301,1.9248478412628174,433,0.2676269287883978,0.2556320400500626,1.189194826866917,0.28114411306816406
350,7.39664888381958,0.06970342993736267,0.8594322800636292,2.1560230255126953,2.686697483062744,1.3863284587860107,0.05451160669326782,0.7417227462814893,1.9219110012054443,82,0.23845299234083045,0.28170629954109305,1.2934918648310387,1.58273722912448
375,3.5725972652435303,0.06975412368774414,0.8683986663818359,2.1540868282318115,0.060762617737054825,1.368548035621643,0.05471096560359001,0.7192670170991453,1.908407211303711,9,0.21245929852318035,0.3077805590321235,1.3977889027951607,2.884330345180798
400,3.747633457183838,0.06972284615039825,0.8764463663101196,2.1522903442382812,0.02451201155781746,1.3630133867263794,0.054824233055114746,0.6941327500091931,1.9222455024719238,3,0.1892991699783031,0.333854818523154,1.5,4.185923461237116
425,3.7566726207733154,0.06967427581548691,0.8799697160720825,2.150097608566284,0.015716342255473137,1.3517454862594604,0.05489791929721832,0.6839991706388537,1.9096959829330444,2,0.16866372055052606,0.35992907801418444,1.5,5.487516577293431
450,3.74629807472229,0.06959865242242813,0.8873741030693054,2.1489145755767822,0.007033903151750565,1.3495428562164307,0.05492495745420456,0.6774339224630183,1.9118019342422485,3,0.1502777356773752,0.38600333750521487,1.5,6.789109693349748
475,3.748843193054199,0.0695236474275589,0.8926936388015747,2.1484596729278564,0.002691364148631692,1.3451721668243408,0.05493338406085968,0.6729181810699155,1.9075595140457153,2,0.13389600185864392,0.41207759699624535,1.5,8.090702809406068
500,3.7541005611419678,0.06945709139108658,0.8957223892211914,2.1472904682159424,4.0924278437159956e-05,1.3400179147720337,0.05494026094675064,0.669235091288544,1.9009201526641846,0,0.1193000362490099,0.4381518564872758,1.5,9.392295925462385
525,3.7811102867126465,0.06938862800598145,0.8989744186401367,2.14648699760437,0.0,1.34291672706604,0.05493653938174248,0.6658130566625245,1.9101474285125732,0,0.10629517275684258,0.4642261159783062,1.5,10.693889041518698
550,3.8098747730255127,0.06933866441249847,0.9008880853652954,2.146904230117798,0.0,1.342925786972046,0.05494089424610138,0.6628062689854725,1.913163423538208,0,0.09470796578656343,0.49030037546933675,1.5,11.99548215757502
575,3.821730136871338,0.06929725408554077,0.9008766412734985,2.146526575088501,0.0,1.343888759613037,0.05494166910648346,0.6604222009314813,1.917472004890442,0,0.08438387699832274,0.5,1.5,13.297075273631334
600,3.8258635997772217,0.06925925612449646,0.9019794464111328,2.1464812755584717,0.0,1.343201994895935,0.054938528686761856,0.6588722406849061,1.9176546335220337,0,0.07518521423335538,0.5,1.5,14.598668389687653
625,3.8295624256134033,0.06922409683465958,0.9021639227867126,2.1464903354644775,0.0,1.340866208076477,0.054931677877902985,0.6581014103005539,1.9137675762176514,0,0.06698929511650552,0.5,1.5,15.900261505743968
650,3.831099510192871,0.06919486820697784,0.9017844200134277,2.1463427543640137,0.0,1.343389630317688,0.05492623895406723,0.6577848353515364,1.9191420078277588,0,0.05968681084392512,0.5,1.5,17.201854621800287
675,3.8305320739746094,0.06917238235473633,0.9016296863555908,2.146152973175049,0.0,1.3394132852554321,0.05492253229022026,0.6572471894414053,1.9117343425750732,0,0.0531803683338165,0.5,1.5,18.503447737856604
700,3.8306798934936523,0.06915279477834702,0.9018558859825134,2.1462929248809814,0.0,1.3447242975234985,0.05491924658417702,0.656866669539666,1.9227434396743774,0,0.04738319129691346,0.5,1.5,19.805040853912917
725,3.8303487300872803,0.06913679093122482,0.9012154340744019,2.1463840007781982,0.0,1.3408012390136719,0.05491778627038002,0.6563237277707068,1.9154430627822876,0,0.0422179629029051,0.5,1.5,21.10663396996924
750,3.8303213119506836,0.06912460178136826,0.9008573293685913,2.146568775177002,0.0,1.3377630710601807,0.05491773039102554,0.6558341657537089,1.9098564386367798,0,0.037615794607468216,0.5,1.5,22.408227086025555
775,3.830153465270996,0.06911422312259674,0.9008539319038391,2.1465251445770264,0.0,1.3411638736724854,0.0549180768430233,0.6553440679036575,1.9171475172042847,0,0.033515307387175466,0.5,1.5,23.709820202081872
799,3.829993963241577,0.06910508871078491,0.9005247950553894,2.1465981006622314,0.0,1.3354275226593018,0.05491752550005913,0.6549145075122023,1.9061055183410645,0,0.03,0.5,1.5,24.959349593495936
