it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.08603882044553757,0.08603882044553757,0.9899698495864868,1.6430504322052002,0.30033305287361145,1.1126242876052856,0.05716638267040253,0.8356136484324046,1.2753021717071533,101,0.9376000000000001,0.0,0.0,0.0
25,0.08068600296974182,0.08068600296974182,1.0927550792694092,1.5984764099121094,20.357135772705078,1.1409132480621338,0.05414893478155136,0.9332288361935348,1.2402997016906738,180,0.8353924869628254,0.0,0.0,0.0
50,0.14268611371517181,0.07622033357620239,1.248044729232788,1.572547197341919,40.23286056518555,1.2026722431182861,0.05177631229162216,1.0320658648023573,1.269726037979126,240,0.7443265862563294,0.0,0.041927409261576974,0.0
75,0.3002913296222687,0.07380582392215729,1.6461902856826782,1.5318189859390259,52.23302459716797,1.2079119682312012,0.051334407180547714,1.073642807448615,1.2395122051239014,250,0.6631877538451633,0.0,0.14622444722569877,0.0
100,0.48184934258461,0.07260512560606003,1.4698909521102905,1.4917290210723877,49.32917404174805,1.1705659627914429,0.05195746198296547,1.0247355680852077,1.2124813795089722,228,0.5908938427986359,0.020963704630788487,0.25052148518982065,0.0
125,0.6487069129943848,0.0721178725361824,1.1175094842910767,1.4565118551254272,44.44524383544922,1.1072657108306885,0.053062111139297485,0.9194002744740949,1.189007043838501,222,0.5264806707194681,0.04703796412181894,0.3548185231539424,0.0
150,0.8094910383224487,0.07189425826072693,0.9366151094436646,1.4353517293930054,41.01813888549805,1.0923947095870972,0.05406171455979347,0.8467398995029134,1.2299261093139648,222,0.46908916046308957,0.07311222361284939,0.4591155611180642,0.0
175,0.9678577184677124,0.07173892110586166,0.8620420694351196,1.4146058559417725,38.710445404052734,1.061933159828186,0.05486848205327988,0.8006998500092525,1.213429570198059,217,0.4179538826435199,0.09918648310387984,0.563412599082186,0.0
200,1.1252188682556152,0.07155846059322357,0.8248468637466431,1.3971867561340332,35.602935791015625,1.041870355606079,0.05547820031642914,0.7751193766674173,1.1976648569107056,231,0.372392847117469,0.12526074259491032,0.6677096370463079,0.0
225,1.2823115587234497,0.07134626060724258,0.8059360980987549,1.382684588432312,33.90350341796875,1.0278598070144653,0.055942464619874954,0.7613535579988635,1.1824811697006226,221,0.3317984072958935,0.15133500208594075,0.7720066750104296,0.0
250,1.4378798007965088,0.0712025985121727,0.7854748964309692,1.3710309267044067,32.55120849609375,1.018388032913208,0.056341204792261124,0.7492961401526314,1.1747976541519165,219,0.2956291559739984,0.1774092615769712,0.8763037129745515,0.0
275,1.5953292846679688,0.07115154713392258,0.7652348279953003,1.3648340702056885,31.544095993041992,1.011145830154419,0.05670590698719025,0.7360862980246233,1.1727933883666992,217,0.26340270459453874,0.2034835210680017,0.9806007509386734,0.0
300,1.7536828517913818,0.07113504409790039,0.7474048733711243,1.3610320091247559,31.256864547729492,1.0058879852294922,0.057053934782743454,0.7242684776843564,1.173399567604065,210,0.23468924964160218,0.2295577805590321,1.084897788902795,0.0
325,3.8529934883117676,0.07106936722993851,0.7405322790145874,1.3605453968048096,16.71292495727539,0.9758322238922119,0.057314682751894,0.7056139975949192,1.1314210891723633,168,0.20910584036000152,0.2556320400500626,1.189194826866917,0.11584602704600246
