it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.08767193555831909,0.08767193555831909,0.9556538462638855,0.6079761981964111,0.2311403751373291,1.0379326343536377,0.06407969444990158,0.8119845723959341,1.135721206665039,69,0.4608,0.0,0.0,0.0
25,0.08085007965564728,0.08085007965564728,1.3653240203857422,0.6466373205184937,22.512821197509766,1.2264068126678467,0.05900440365076065,1.0506576696826813,1.284147024154663,190,0.41056832123770254,0.0,0.0,0.0
50,0.1036585122346878,0.07575330138206482,1.5733598470687866,0.659324586391449,33.092926025390625,1.3369792699813843,0.05551350116729736,1.2471419874445762,1.3157895803451538,244,0.3658123836891175,0.0,0.041927409261576974,0.0
75,0.15883727371692657,0.07291790843009949,2.357011556625366,0.5787239074707031,24.790573120117188,1.3055219650268555,0.054105937480926514,1.3152810421229801,1.1875509023666382,247,0.32593527834028496,0.0,0.14622444722569877,0.0
100,0.2472781240940094,0.07162714004516602,1.7564752101898193,0.5447490215301514,16.722049713134766,1.2094309329986572,0.05466257035732269,1.214825792417146,1.0947109460830688,242,0.29040516506144554,0.020963704630788487,0.25052148518982065,0.0
125,0.3283853232860565,0.07149408757686615,1.3458566665649414,0.5366321802139282,14.313276290893555,1.1570528745651245,0.056346595287323,1.0679246917552718,1.1334878206253052,233,0.2587481794662232,0.04703796412181894,0.3548185231539424,0.0
150,0.40932947397232056,0.07131953537464142,1.220855474472046,0.5332120656967163,13.631340980529785,1.125518560409546,0.057487089186906815,0.9963251201558897,1.1397379636764526,223,0.23054211299209862,0.07311222361284939,0.4591155611180642,0.0
175,0.4933204650878906,0.07123463600873947,1.184475064277649,0.532117486000061,14.752862930297852,1.079931616783142,0.05845120921730995,0.92461670137271,1.1183440685272217,218,0.2054107819135388,0.09918648310387984,0.563412599082186,0.0
200,0.5759852528572083,0.07125823944807053,1.1375465393066406,0.5338993668556213,15.27181625366211,1.0578594207763672,0.05940284579992294,0.8661443409636135,1.1307686567306519,230,0.18301901018742503,0.12526074259491032,0.6677096370463079,0.0
225,0.6568761467933655,0.07138943672180176,1.1002274751663208,0.5340210199356079,15.349788665771484,1.040647268295288,0.06024559959769249,0.8234438142205573,1.137359619140625,224,0.1630681592170944,0.15133500208594075,0.7720066750104296,0.0
250,0.7329015135765076,0.07153673470020294,1.0598781108856201,0.5312456488609314,14.943560600280762,1.016911506652832,0.06097869575023651,0.794499427898397,1.1173663139343262,220,0.14529214491554868,0.1774092615769712,0.8763037129745515,0.0
275,0.810651957988739,0.0716528370976448,1.0272408723831177,0.5313336849212646,14.94314956665039,1.0138895511627197,0.06158638000488281,0.7744321607554664,1.1301742792129517,223,0.1294538889474866,0.2034835210680017,0.9806007509386734,0.0
300,0.8875274658203125,0.07177010178565979,1.0024892091751099,0.5304145812988281,15.044612884521484,1.0055782794952393,0.062057193368673325,0.7527373463602731,1.1343047618865967,220,0.1153421568204461,0.2295577805590321,1.084897788902795,0.0
325,1.8663302659988403,0.07213850319385529,0.9371211528778076,0.5371323227882385,8.028936386108398,0.9917678833007812,0.06269433349370956,0.7541328149249327,1.104014277458191,169,0.10276874065474476,0.2556320400500626,1.189194826866917,0.1126408010012514
350,1.261710286140442,0.07314088940620422,0.871159017086029,0.5369774103164673,0.37104061245918274,0.9772964715957642,0.06391188502311707,0.7728375231166155,1.053931713104248,32,0.09156594905887888,0.28170629954109305,1.2934918648310387,0.6341259908218599
