it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.09475068002939224,0.09475068002939224,0.8196659684181213,2.332223415374756,0.1875002384185791,1.657679557800293,0.06358546763658524,0.7217132547366352,2.466475009918213,47,0.653,0.0,0.0,0.0
25,0.08879155665636063,0.08879155665636063,1.1032801866531372,2.278965473175049,12.850677490234375,1.6878429651260376,0.060198768973350525,0.8359668288802274,2.4193215370178223,101,0.5818166531428381,0.0,0.0,0.0
50,0.17852669954299927,0.0839836597442627,1.3525809049606323,2.2428224086761475,23.44654083251953,1.723618984222412,0.057638756930828094,0.9776798846993899,2.354280710220337,107,0.518392982962226,0.0,0.041927409261576974,0.0
75,0.40121138095855713,0.08156909048557281,1.5834646224975586,2.1671626567840576,28.41943359375,1.6857300996780396,0.05697094649076462,1.073648209185627,2.1838700771331787,143,0.4618831092799611,0.0,0.14622444722569877,0.0
100,0.6400631070137024,0.08098512142896652,1.3136752843856812,2.0999183654785156,28.373550415039062,1.6498494148254395,0.057854294776916504,1.0625409908986188,2.1214492321014404,153,0.41153336107882804,0.020963704630788487,0.25052148518982065,0.0
125,0.8671477437019348,0.08125459402799606,0.9753938913345337,2.063119649887085,24.459867477416992,1.5670623779296875,0.059530407190322876,0.895467445266018,2.119596481323242,148,0.36667222480782063,0.04703796412181894,0.3548185231539424,0.0
150,1.0873379707336426,0.08167234063148499,0.8382399082183838,2.0325779914855957,22.186763763427734,1.527420997619629,0.06102368235588074,0.7986970743618985,2.1340975761413574,143,0.3267013884197925,0.07311222361284939,0.4591155611180642,0.0
175,1.3041490316390991,0.08201775699853897,0.7698043584823608,2.007200002670288,22.542198181152344,1.4993528127670288,0.06223687902092934,0.7489461601344194,2.1252856254577637,153,0.29108776169605216,0.09918648310387984,0.563412599082186,0.0
200,1.5232840776443481,0.08240716904401779,0.7273569703102112,1.9929052591323853,21.379825592041016,1.4953129291534424,0.06334591656923294,0.7140325259291388,2.1499013900756836,151,0.25935636643313487,0.12526074259491032,0.6677096370463079,0.0
225,1.7403113842010498,0.0827527865767479,0.6993010640144348,1.9790401458740234,20.647560119628906,1.4840105772018433,0.06430395692586899,0.6873434719337289,2.1520698070526123,139,0.23108400166832171,0.15133500208594075,0.7720066750104296,0.0
250,1.9558284282684326,0.08295949548482895,0.6791943311691284,1.9668419361114502,18.98052978515625,1.4724124670028687,0.06497159600257874,0.6681766649242576,2.146705150604248,136,0.2058935994571469,0.1774092615769712,0.8763037129745515,0.0
275,2.169276714324951,0.08307266980409622,0.6690033674240112,1.9540232419967651,18.035430908203125,1.4625133275985718,0.06550751626491547,0.6542045962333828,2.1398069858551025,129,0.18344919592601727,0.2034835210680017,0.9806007509386734,0.0
300,2.3833680152893066,0.0832398384809494,0.6632781624794006,1.9433530569076538,17.507007598876953,1.4542478322982788,0.0660683810710907,0.6463420741662047,2.130016803741455,135,0.1634514505289742,0.2295577805590321,1.084897788902795,0.0
