it,loss,wl_sur,d_sur,c_sur,ov_sur,proxy,exact_wl,exact_den,exact_cong,overlaps,gamma,w_d,w_c,w_ov
0,0.08525431901216507,0.08525431901216507,1.1846503019332886,3.3144683837890625,0.6262131929397583,1.739154577255249,0.05343839153647423,0.9453343797776047,2.426097869873047,231,1.4528,0.0,0.0,0.0
25,0.08092775195837021,0.08092775195837021,1.2452353239059448,3.2796547412872314,61.890541076660156,1.7617454528808594,0.05185277760028839,1.0258010527476067,2.393984317779541,525,1.294430679457757,0.0,0.0,0.0
50,0.21355558931827545,0.07725770771503448,1.1179842948913574,3.2378923892974854,117.95477294921875,1.7930536270141602,0.05057300627231598,1.1266375932502561,2.358323812484741,639,1.1533251541309677,0.0,0.041927409261576974,0.0
75,0.5435281991958618,0.0753432959318161,1.2431849241256714,3.1876425743103027,87.47471618652344,1.8043992519378662,0.05074794217944145,1.182075337059347,2.3252272605895996,610,1.027601502545065,0.0,0.14622444722569877,0.0
100,0.8933537006378174,0.07445020228624344,1.3385756015777588,3.1408724784851074,57.65966796875,1.7566144466400146,0.051670778542757034,1.1346369486520653,2.275250196456909,486,0.9155829509576132,0.020963704630788487,0.25052148518982065,0.0
125,1.229732632637024,0.07393985986709595,1.1508021354675293,3.085559844970703,85.63275146484375,1.697354793548584,0.052725840359926224,1.0091736675721,2.2800841331481934,613,0.8157755102615649,0.04703796412181894,0.3548185231539424,0.0
150,1.5538831949234009,0.07353495806455612,1.0627845525741577,3.032032012939453,105.13357543945312,1.658623218536377,0.053509872406721115,0.9074385171137109,2.302788257598877,616,0.7268480506834221,0.07311222361284939,0.4591155611180642,0.0
175,1.8773996829986572,0.07315501570701599,1.0265872478485107,2.9946560859680176,118.63369750976562,1.6186370849609375,0.054087039083242416,0.8332266512221131,2.2958734035491943,641,0.6476145485329626,0.09918648310387984,0.563412599082186,0.0
200,2.195718288421631,0.07284822314977646,1.01220703125,2.9588615894317627,129.46456909179688,1.5913560390472412,0.0545499362051487,0.7802996945047883,2.2933125495910645,660,0.5770182682297984,0.12526074259491032,0.6677096370463079,0.0
225,2.5118515491485596,0.07257568836212158,0.9981340765953064,2.9299306869506836,135.18106079101562,1.5648720264434814,0.05488516390323639,0.7471697906144842,2.272803783416748,673,0.5141176686427837,0.15133500208594075,0.7720066750104296,0.0
250,2.8212690353393555,0.07240903377532959,0.9756963849067688,2.9021332263946533,134.37542724609375,1.547212839126587,0.055224236100912094,0.7243910910798598,2.2595860958099365,669,0.45807384577541044,0.1774092615769712,0.8763037129745515,0.0
275,3.130570650100708,0.07231011986732483,0.9559292197227478,2.8803279399871826,131.0958251953125,1.5373046398162842,0.05555575713515282,0.7100119078711534,2.253485918045044,662,0.4081393443205481,0.2034835210680017,0.9806007509386734,0.0
300,3.4383020401000977,0.07224055379629135,0.9419592022895813,2.860557794570923,130.34951782226562,1.5191547870635986,0.05582207441329956,0.6942143658910416,2.2324512004852295,661,0.36364818886446204,0.2295577805590321,1.084897788902795,0.0
325,31.849811553955078,0.0722341313958168,0.8950533270835876,2.8439505100250244,80.78713989257812,1.508878231048584,0.056078389286994934,0.6862107227238383,2.219388961791992,580,0.32400700178648695,0.2556320400500626,1.189194826866917,0.3479959705729718
350,11.059480667114258,0.07247167825698853,0.8186447024345398,2.8279638290405273,3.592752456665039,1.513323187828064,0.05652903392910957,0.7140371441667731,2.1995511054992676,145,0.2886870893939654,0.28170629954109305,1.2934918648310387,1.9590884269293234
375,8.601137161254883,0.07249765843153,0.814617395401001,2.8210346698760986,1.195365309715271,1.5073349475860596,0.05673695728182793,0.7045125085083652,2.196683406829834,23,0.257217390745397,0.3077805590321235,1.3977889027951607,3.570180883285678
400,10.677315711975098,0.07247264683246613,0.8180335760116577,2.8159635066986084,1.1646068096160889,1.498738169670105,0.05687403678894043,0.6880394541899071,2.1956887245178223,7,0.22917819512039891,0.333854818523154,1.5,5.181273339642033
425,12.547417640686035,0.0724383294582367,0.8209798336029053,2.8120405673980713,1.160275936126709,1.4919729232788086,0.05696669593453407,0.6725849453031306,2.19742751121521,3,0.20419554434650358,0.35992907801418444,1.5,6.792365795998385
450,14.432416915893555,0.07241065055131912,0.818923830986023,2.807835578918457,1.159691572189331,1.4879682064056396,0.05704445391893387,0.664655774662298,2.1971917152404785,4,0.18193624532674227,0.38600333750521487,1.5,8.403458252354737
475,16.3280086517334,0.07239408791065216,0.8158333897590637,2.804795026779175,1.1602442264556885,1.4823408126831055,0.05711476132273674,0.6580947037812414,2.192357301712036,4,0.16210342625019827,0.41207759699624535,1.5,10.014550708711093
500,18.19385528564453,0.07237688452005386,0.8131227493286133,2.8016550540924072,1.1581063270568848,1.4746315479278564,0.057169992476701736,0.6522600103810834,2.1826632022857666,2,0.1444325772188013,0.4381518564872758,1.5,11.625643165067444
525,20.083898544311523,0.07234764844179153,0.8131982684135437,2.7999088764190674,1.1580872535705566,1.4787399768829346,0.057200636714696884,0.6472501290607522,2.195828676223755,2,0.1286880224842841,0.4642261159783062,1.5,13.236735621423797
550,21.9743709564209,0.07231558859348297,0.8127080202102661,2.798676013946533,1.158087134361267,1.470739483833313,0.057215575128793716,0.6435020426645972,2.1835458278656006,2,0.11465977724559945,0.49030037546933675,1.5,14.847828077780152
575,23.852283477783203,0.07228484004735947,0.8121845722198486,2.7980751991271973,1.158087134361267,1.4680933952331543,0.05722682923078537,0.6406871379876128,2.1810460090637207,2,0.10216074708596941,0.5,1.5,16.458920534136507
600,25.723634719848633,0.07225597649812698,0.8114710450172424,2.7984745502471924,1.1580867767333984,1.4700990915298462,0.05723470821976662,0.6391182893274735,2.186610460281372,2,0.09102423269851559,0.5,1.5,18.07001299049286
625,27.591962814331055,0.07222913950681686,0.8106777667999268,2.7969231605529785,1.1580866575241089,1.4664067029953003,0.05723956227302551,0.6381527522444964,2.1801815032958984,2,0.08110170662104936,0.5,1.5,19.68110544684921
650,29.460155487060547,0.07220634818077087,0.8101322650909424,2.7968029975891113,1.1580866575241089,1.4689908027648926,0.05724349617958069,0.6373246990700655,2.1861698627471924,2,0.07226083232837868,0.5,1.5,21.292197903205565
675,31.32526397705078,0.07218623906373978,0.8098506331443787,2.7965729236602783,1.1580870151519775,1.466573715209961,0.05724657326936722,0.636786595561387,2.181867837905884,2,0.06438369926280717,0.5,1.5,22.903290359561918
700,33.191280364990234,0.07217036187648773,0.8096393942832947,2.7968995571136475,1.158087134361267,1.4690057039260864,0.05725047364830971,0.6362557613612989,2.1872546672821045,2,0.05736525026346323,0.5,1.5,24.514382815918268
725,35.05641555786133,0.07215713709592819,0.8092926740646362,2.7966599464416504,1.1580870151519775,1.4690707921981812,0.05725447088479996,0.6356525594154286,2.1879801750183105,2,0.05111188042111712,0.5,1.5,26.125475272274624
750,36.92137908935547,0.07214728742837906,0.8083280920982361,2.7964518070220947,1.158087134361267,1.4707609415054321,0.057258084416389465,0.6350551941529708,2.191950559616089,2,0.04554018867144153,0.5,1.5,27.736567728630977
775,38.78657913208008,0.07214134931564331,0.807462215423584,2.796358823776245,1.1580872535705566,1.4709053039550781,0.05726395919919014,0.6345569104108331,2.192725658416748,2,0.040575865476740434,0.5,1.5,29.34766018498733
799,40.57648849487305,0.07213907688856125,0.8062266111373901,2.7959306240081787,1.1580872535705566,1.4695022106170654,0.057270895689725876,0.6341025699553217,2.1903600692749023,2,0.03632,0.5,1.5,30.89430894308943
